   53 T=     2. E= -.33252721E+03 F= -.33253983E+03 E0= -.33246191E+03  EK= 0.12620E-01 SP= 0.00E+00 SK= 0.00E+00
   54 T=     1. E= -.33252718E+03 F= -.33253573E+03 E0= -.33245787E+03  EK= 0.85514E-02 SP= 0.00E+00 SK= 0.00E+00
   55 T=     1. E= -.33252714E+03 F= -.33253214E+03 E0= -.33245431E+03  EK= 0.49912E-02 SP= 0.00E+00 SK= 0.00E+00
   56 T=     0. E= -.33252712E+03 F= -.33252952E+03 E0= -.33245172E+03  EK= 0.23953E-02 SP= 0.00E+00 SK= 0.00E+00
   57 T=     0. E= -.33252712E+03 F= -.33252818E+03 E0= -.33245039E+03  EK= 0.10640E-02 SP= 0.00E+00 SK= 0.00E+00
   58 T=     0. E= -.33252713E+03 F= -.33252817E+03 E0= -.33245037E+03  EK= 0.10424E-02 SP= 0.00E+00 SK= 0.00E+00
   59 T=     0. E= -.33252714E+03 F= -.33252932E+03 E0= -.33245151E+03  EK= 0.21799E-02 SP= 0.00E+00 SK= 0.00E+00
   60 T=     1. E= -.33252716E+03 F= -.33253143E+03 E0= -.33245359E+03  EK= 0.42764E-02 SP= 0.00E+00 SK= 0.00E+00
   61 T=     1. E= -.33252717E+03 F= -.33253436E+03 E0= -.33245647E+03  EK= 0.71903E-02 SP= 0.00E+00 SK= 0.00E+00
   62 T=     1. E= -.33252718E+03 F= -.33253802E+03 E0= -.33246008E+03  EK= 0.10834E-01 SP= 0.00E+00 SK= 0.00E+00
   63 T=     2. E= -.33252721E+03 F= -.33254229E+03 E0= -.33246429E+03  EK= 0.15083E-01 SP= 0.00E+00 SK= 0.00E+00
   64 T=     2. E= -.33252724E+03 F= -.33254693E+03 E0= -.33246886E+03  EK= 0.19694E-01 SP= 0.00E+00 SK= 0.00E+00
   65 T=     3. E= -.33252727E+03 F= -.33255160E+03 E0= -.33247343E+03  EK= 0.24329E-01 SP= 0.00E+00 SK= 0.00E+00
   66 T=     4. E= -.33252729E+03 F= -.33255597E+03 E0= -.33247769E+03  EK= 0.28675E-01 SP= 0.00E+00 SK= 0.00E+00
